Data for the current Ebola outbreak!
Population Size: 100
9 infected 35.
0 infected 69.
1 infected 79.
2 infected 56.
3 infected 29.
4 infected 71.
5 infected 98.
6 infected 95.
7 infected 90.
8 infected 27.
9 infected 93.
0 infected 41.
1 infected 53.
2 infected 87.
3 infected 85.
4 infected 49.
5 infected 58.
6 infected 68.
7 infected 59.
8 infected 17.
9 infected 33.
0 infected 30.
1 infected 10.
2 infected 45.
3 infected 2.
4 infected 77.
5 infected 72.
6 infected 31.
7 infected 77.
8 infected 30.
9 infected 0.
0 infected 11.
1 infected 92.
2 infected 82.
3 infected 9.
4 infected 31.
5 infected 10.
6 infected 5.
7 infected 44.
8 infected 11.
9 infected 67.
0 infected 32.
1 infected 37.
2 infected 87.
3 infected 64.
4 infected 29.
5 infected 71.
6 infected 18.
7 infected 94.
8 infected 75.
9 infected 75.
0 infected 62.
1 infected 33.
2 infected 102.
3 infected 62.
4 infected 105.
5 infected 54.
6 infected 26.
7 infected 14.
8 infected 14.
9 infected 86.
0 infected 57.
1 infected 47.
2 infected 56.
3 infected 54.
4 infected 61.
5 infected 95.
6 infected 8.
7 infected 14.
8 infected 9.
9 infected 53.
0 infected 95.
1 infected 45.
2 infected 104.
3 infected 15.
4 infected 33.
5 infected 26.
6 infected 26.
7 infected 70.
8 infected 59.
9 infected 19.
0 infected 56.
1 infected 25.
2 infected 37.
3 infected 61.
4 infected 33.
5 infected 11.
6 infected 58.
7 infected 105.
8 infected 72.
9 infected 14.
0 infected 8.
1 infected 14.
2 infected 99.
3 infected 33.
4 infected 24.
5 infected 55.
6 infected 65.
7 infected 64.
8 infected 30.
9 infected 54.
0 infected 10.
1 infected 24.
2 infected 51.
3 infected 0.
4 infected 52.
5 infected 36.
6 infected 103.
7 infected 103.
8 infected 61.
9 infected 39.
0 infected 57.
1 infected 92.
2 infected 96.
3 infected 103.
4 infected 74.
5 infected 87.
6 infected 94.
7 infected 65.
8 infected 22.
9 infected 27.
0 infected 40.
1 infected 30.
2 infected 10.
3 infected 77.
4 infected 97.
5 infected 72.
6 infected 10.
7 infected 98.
8 infected 43.
9 infected 10.
0 infected 9.
1 infected 77.
2 infected 64.
3 infected 67.
4 infected 70.
5 infected 23.
6 infected 10.
7 infected 68.
8 infected 13.
9 infected 26.
0 infected 11.
1 infected 79.
2 infected 11.
3 infected 89.
4 infected 33.
5 infected 54.
6 infected 18.
7 infected 75.
8 infected 34.
9 infected 77.
0 infected 79.
1 infected 6.
2 infected 69.
3 infected 43.
4 infected 36.
5 infected 29.
6 infected 88.
7 infected 94.
8 infected 43.
9 infected 33.
0 infected 36.
1 infected 53.
2 infected 19.
3 infected 88.
4 infected 85.
5 infected 41.
6 infected 61.
7 infected 43.
8 infected 99.
9 infected 12.
0 infected 1.
1 infected 61.
2 infected 82.
3 infected 75.
4 infected 15.
5 infected 12.
6 infected 71.
7 infected 30.
8 infected 67.
9 infected 36.
0 infected 19.
1 infected 47.
2 infected 11.
3 infected 34.
4 infected 50.
5 infected 39.
6 infected 23.
7 infected 59.
8 infected 72.
9 infected 93.
0 infected 41.
1 infected 81.
2 infected 106.
3 infected 86.
4 infected 70.
5 infected 1.
6 infected 88.
7 infected 107.
8 infected 73.
9 infected 41.
0 infected 87.
1 infected 16.
2 infected 20.
3 infected 36.
4 infected 17.
5 infected 16.
6 infected 98.
7 infected 73.
8 infected 22.
9 infected 37.
0 infected 39.
1 infected 80.
2 infected 29.
3 infected 94.
4 infected 46.
5 infected 29.
6 infected 90.
7 infected 84.
8 infected 36.
9 infected 67.
0 infected 65.
1 infected 35.
2 infected 9.
3 infected 14.
4 infected 84.
5 infected 57.
6 infected 38.
7 infected 6.
8 infected 0.
9 infected 45.
0 infected 101.
1 infected 19.
2 infected 84.
3 infected 36.
4 infected 23.
5 infected 97.
6 infected 59.
7 infected 73.
8 infected 93.
9 infected 57.
0 infected 74.
1 infected 1.
2 infected 17.
3 infected 12.
4 infected 91.
5 infected 22.
6 infected 72.
7 infected 5.
8 infected 50.
9 infected 77.
0 infected 73.
1 infected 21.
2 infected 58.
3 infected 19.
4 infected 6.
5 infected 42.
6 infected 49.
7 infected 104.
8 infected 6.
9 infected 48.
0 infected 29.
1 infected 90.
2 infected 34.
3 infected 88.
4 infected 16.
5 infected 48.
6 infected 102.
7 infected 74.
8 infected 55.
9 infected 82.
0 infected 98.
1 infected 22.
2 infected 33.
3 infected 23.
4 infected 105.
5 infected 106.
6 infected 25.
7 infected 55.
8 infected 4.
9 infected 103.
0 infected 55.
1 infected 105.
2 infected 88.
3 infected 97.
4 infected 106.
5 infected 34.
6 infected 37.
7 infected 23.
8 infected 103.
9 infected 92.
0 infected 16.
1 infected 51.
2 infected 5.
3 infected 63.
4 infected 31.
5 infected 28.
6 infected 107.
7 infected 61.
8 infected 47.
9 infected 42.
0 infected 108.
1 infected 104.
2 infected 32.
3 infected 31.
4 infected 4.
5 infected 11.
6 infected 101.
7 infected 38.
8 infected 47.
9 infected 85.
0 infected 68.
1 infected 54.
2 infected 89.
3 infected 71.
4 infected 45.
5 infected 4.
6 infected 17.
7 infected 36.
8 infected 25.
9 infected 77.
0 infected 36.
1 infected 5.
2 infected 16.
3 infected 79.
4 infected 58.
5 infected 47.
6 infected 96.
7 infected 103.
8 infected 43.
9 infected 58.
0 infected 80.
1 infected 68.
2 infected 17.
3 infected 52.
4 infected 76.
5 infected 27.
6 infected 35.
7 infected 6.
8 infected 93.
9 infected 58.
0 infected 0.
1 infected 69.
2 infected 106.
3 infected 71.
4 infected 90.
5 infected 95.
6 infected 97.
7 infected 97.
8 infected 88.
9 infected 28.
0 infected 49.
1 infected 58.
2 infected 11.
3 infected 88.
4 infected 45.
5 infected 82.
6 infected 43.
7 infected 87.
8 infected 18.
9 infected 95.
0 infected 41.
1 infected 67.
2 infected 42.
3 infected 88.
4 infected 55.
5 infected 44.
6 infected 54.
7 infected 92.
8 infected 40.
9 infected 73.
0 infected 19.
1 infected 27.
2 infected 56.
3 infected 88.
4 infected 51.
5 infected 89.
6 infected 98.
7 infected 25.
8 infected 81.
9 infected 75.
0 infected 41.
1 infected 54.
2 infected 73.
3 infected 0.
4 infected 41.
5 infected 39.
6 infected 29.
7 infected 58.
8 infected 103.
9 infected 77.
0 infected 80.
1 infected 86.
2 infected 44.
3 infected 62.
4 infected 59.
5 infected 59.
6 infected 89.
7 infected 30.
8 infected 68.
9 infected 63.
0 infected 104.
1 infected 104.
2 infected 97.
3 infected 24.
4 infected 87.
5 infected 13.
6 infected 39.
7 infected 68.
8 infected 87.
9 infected 84.
0 infected 82.
1 infected 45.
2 infected 14.
3 infected 107.
4 infected 99.
5 infected 33.
6 infected 89.
7 infected 42.
8 infected 31.
9 infected 106.
0 infected 28.
1 infected 21.
2 infected 4.
3 infected 6.
4 infected 34.
5 infected 63.
6 infected 81.
7 infected 101.
8 infected 12.
9 infected 61.
0 infected 56.
1 infected 83.
2 infected 76.
3 infected 27.
4 infected 94.
5 infected 92.
6 infected 52.
7 infected 66.
8 infected 54.
9 infected 34.
0 infected 21.
1 infected 86.
2 infected 91.
3 infected 0.
4 infected 99.
5 infected 101.
6 infected 16.
7 infected 102.
8 infected 57.
9 infected 31.
0 infected 25.
1 infected 105.
2 infected 92.
3 infected 69.
4 infected 62.
5 infected 9.
6 infected 74.
7 infected 34.
8 infected 18.
9 infected 61.
0 infected 20.
1 infected 105.
2 infected 62.
3 infected 88.
4 infected 70.
5 infected 74.
6 infected 79.
7 infected 43.
8 infected 99.
9 infected 59.
0 infected 81.
1 infected 107.
2 infected 95.
3 infected 67.
4 infected 57.
5 infected 73.
6 infected 60.
7 infected 23.
8 infected 98.
9 infected 63.
0 infected 60.
1 infected 36.
2 infected 99.
3 infected 34.
4 infected 84.
5 infected 38.
6 infected 101.
7 infected 102.
8 infected 69.
9 infected 65.
0 infected 83.
1 infected 33.
2 infected 38.
3 infected 59.
4 infected 12.
5 infected 94.
6 infected 39.
7 infected 33.
8 infected 37.
9 infected 45.
0 infected 43.
1 infected 72.
2 infected 13.
3 infected 20.
4 infected 22.
5 infected 32.
6 infected 52.
7 infected 91.
8 infected 22.
9 infected 93.
0 infected 30.
1 infected 11.
2 infected 56.
3 infected 55.
4 infected 45.
5 infected 72.
6 infected 62.
7 infected 56.
8 infected 10.
9 infected 29.
0 infected 56.
1 infected 52.
2 infected 101.
3 infected 77.
4 infected 92.
5 infected 2.
6 infected 100.
7 infected 76.
8 infected 51.
9 infected 64.
0 infected 0.
1 infected 48.
2 infected 41.
3 infected 99.
4 infected 52.
5 infected 56.
6 infected 71.
7 infected 98.
8 infected 97.
9 infected 72.
0 infected 105.
1 infected 80.
2 infected 31.
3 infected 65.
4 infected 31.
5 infected 37.
6 infected 58.
7 infected 65.
8 infected 4.
9 infected 52.
0 infected 46.
1 infected 88.
2 infected 89.
3 infected 105.
4 infected 54.
5 infected 95.
6 infected 24.
7 infected 62.
8 infected 19.
9 infected 82.
0 infected 71.
1 infected 4.
2 infected 53.
3 infected 78.
4 infected 75.
5 infected 87.
6 infected 4.
7 infected 13.
8 infected 85.
9 infected 57.
0 infected 20.
1 infected 62.
2 infected 26.
3 infected 9.
4 infected 36.
5 infected 51.
6 infected 44.
7 infected 30.
8 infected 61.
9 infected 44.
0 infected 46.
1 infected 100.
2 infected 51.
3 infected 38.
4 infected 99.
5 infected 56.
6 infected 35.
7 infected 13.
8 infected 63.
9 infected 2.
0 infected 98.
1 infected 72.
2 infected 9.
3 infected 47.
4 infected 31.
5 infected 86.
6 infected 11.
7 infected 102.
8 infected 86.
9 infected 6.
0 infected 99.
1 infected 4.
2 infected 34.
3 infected 28.
4 infected 2.
5 infected 82.
6 infected 22.
7 infected 33.
8 infected 19.
9 infected 63.
0 infected 88.
1 infected 17.
2 infected 75.
3 infected 30.
4 infected 62.
5 infected 92.
6 infected 35.
7 infected 101.
8 infected 50.
9 infected 24.
0 infected 80.
1 infected 80.
2 infected 98.
3 infected 94.
4 infected 17.
5 infected 102.
6 infected 107.
7 infected 23.
8 infected 42.
9 infected 16.
0 infected 77.
1 infected 4.
2 infected 42.
3 infected 76.
4 infected 89.
5 infected 51.
6 infected 53.
7 infected 94.
8 infected 28.
9 infected 12.
0 infected 78.
1 infected 91.
2 infected 83.
3 infected 34.
4 infected 16.
5 infected 92.
6 infected 101.
7 infected 41.
8 infected 90.
9 infected 79.
0 infected 106.
1 infected 18.
2 infected 104.
3 infected 75.
4 infected 103.
5 infected 6.
6 infected 47.
7 infected 71.
8 infected 57.
9 infected 87.
0 infected 50.
1 infected 11.
2 infected 67.
3 infected 85.
4 infected 46.
5 infected 1.
6 infected 56.
7 infected 108.
8 infected 65.
9 infected 16.
0 infected 58.
1 infected 49.
2 infected 84.
3 infected 61.
4 infected 93.
5 infected 22.
6 infected 58.
7 infected 25.
8 infected 96.
9 infected 69.
0 infected 86.
1 infected 37.
2 infected 81.
3 infected 106.
4 infected 71.
5 infected 102.
6 infected 64.
7 infected 62.
8 infected 58.
9 infected 108.
0 infected 96.
1 infected 78.
2 infected 37.
3 infected 44.
4 infected 34.
5 infected 14.
6 infected 38.
7 infected 60.
8 infected 34.
9 infected 99.
0 infected 62.
1 infected 75.
2 infected 81.
3 infected 88.
4 infected 51.
5 infected 46.
6 infected 4.
7 infected 66.
8 infected 44.
9 infected 26.
0 infected 65.
1 infected 30.
2 infected 48.
3 infected 105.
4 infected 36.
5 infected 46.
6 infected 38.
7 infected 79.
8 infected 92.
9 infected 38.
0 infected 74.
1 infected 1.
2 infected 69.
3 infected 27.
4 infected 13.
5 infected 33.
6 infected 95.
7 infected 55.
8 infected 65.
9 infected 74.
0 infected 100.
1 infected 33.
2 infected 91.
3 infected 63.
4 infected 85.
5 infected 94.
6 infected 65.
7 infected 60.
8 infected 104.
9 infected 2.
0 infected 14.
1 infected 40.
2 infected 31.
3 infected 54.
4 infected 91.
5 infected 34.
6 infected 42.
7 infected 87.
8 infected 77.
9 infected 50.
0 infected 63.
1 infected 73.
2 infected 70.
3 infected 47.
4 infected 57.
5 infected 98.
6 infected 73.
7 infected 45.
8 infected 48.
9 infected 92.
0 infected 61.
1 infected 37.
2 infected 42.
3 infected 35.
4 infected 32.
5 infected 18.
6 infected 95.
7 infected 27.
8 infected 43.
9 infected 18.
0 infected 98.
1 infected 71.
2 infected 100.
3 infected 91.
4 infected 26.
5 infected 27.
6 infected 30.
7 infected 97.
8 infected 64.
9 infected 38.
0 infected 95.
1 infected 78.
2 infected 100.
3 infected 70.
4 infected 79.
5 infected 39.
6 infected 15.
7 infected 27.
8 infected 40.
9 infected 32.
0 infected 49.
1 infected 25.
2 infected 41.
3 infected 1.
4 infected 93.
5 infected 71.
6 infected 19.
7 infected 38.
8 infected 6.
9 infected 9.
0 infected 73.
1 infected 40.
2 infected 92.
3 infected 19.
4 infected 84.
5 infected 99.
6 infected 65.
7 infected 16.
8 infected 1.
9 infected 76.
End of Time Step #1. There were 0 people infected. Now there is 22 total people infected. The total number of deaths has rose to 4
0 infected 39.
1 infected 63.
2 infected 64.
4 infected 59.
5 infected 46.
6 infected 26.
9 infected 9.
108 infected 35.
0 infected 64.
1 infected 17.
2 infected 108.
4 infected 11.
5 infected 54.
6 infected 65.
9 infected 12.
108 infected 76.
0 infected 83.
1 infected 90.
2 infected 9.
4 infected 22.
5 infected 22.
6 infected 106.
9 infected 75.
108 infected 41.
0 infected 13.
1 infected 34.
2 infected 18.
4 infected 74.
5 infected 100.
6 infected 56.
9 infected 80.
108 infected 79.
0 infected 104.
1 infected 82.
2 infected 31.
4 infected 102.
5 infected 69.
6 infected 51.
9 infected 60.
108 infected 59.
0 infected 41.
1 infected 78.
2 infected 57.
4 infected 42.
5 infected 75.
6 infected 82.
9 infected 10.
108 infected 81.
0 infected 97.
1 infected 15.
2 infected 100.
4 infected 29.
5 infected 83.
6 infected 30.
9 infected 36.
108 infected 87.
0 infected 13.
1 infected 23.
2 infected 33.
4 infected 25.
5 infected 73.
6 infected 12.
9 infected 23.
108 infected 0.
0 infected 55.
1 infected 60.
2 infected 91.
4 infected 79.
5 infected 63.
6 infected 40.
9 infected 5.
108 infected 32.
0 infected 39.
1 infected 93.
2 infected 39.
4 infected 92.
5 infected 61.
6 infected 12.
9 infected 90.
108 infected 32.
0 infected 36.
1 infected 103.
2 infected 104.
4 infected 83.
5 infected 78.
6 infected 87.
9 infected 105.
108 infected 28.
0 infected 57.
1 infected 17.
2 infected 72.
4 infected 31.
5 infected 85.
6 infected 22.
9 infected 37.
108 infected 108.
0 infected 21.
1 infected 12.
2 infected 10.
4 infected 24.
5 infected 104.
6 infected 42.
9 infected 79.
108 infected 98.
0 infected 108.
1 infected 75.
2 infected 39.
4 infected 59.
5 infected 18.
6 infected 62.
9 infected 91.
108 infected 41.
0 infected 92.
1 infected 54.
2 infected 37.
4 infected 67.
5 infected 72.
6 infected 66.
9 infected 59.
108 infected 13.
0 infected 79.
1 infected 6.
2 infected 58.
4 infected 97.
5 infected 44.
6 infected 80.
9 infected 35.
108 infected 4.
0 infected 14.
1 infected 32.
2 infected 89.
4 infected 76.
5 infected 78.
6 infected 2.
9 infected 100.
108 infected 89.
0 infected 108.
1 infected 37.
2 infected 76.
4 infected 6.
5 infected 100.
6 infected 99.
9 infected 25.
108 infected 63.
0 infected 69.
1 infected 86.
2 infected 59.
4 infected 38.
5 infected 26.
6 infected 77.
9 infected 58.
108 infected 84.
0 infected 107.
1 infected 65.
2 infected 14.
4 infected 63.
5 infected 47.
6 infected 55.
9 infected 45.
108 infected 44.
0 infected 88.
1 infected 16.
2 infected 23.
4 infected 45.
5 infected 55.
6 infected 91.
9 infected 66.
108 infected 39.
0 infected 87.
1 infected 54.
2 infected 107.
4 infected 100.
5 infected 73.
6 infected 5.
9 infected 61.
108 infected 14.
0 infected 43.
1 infected 35.
2 infected 44.
4 infected 17.
5 infected 101.
6 infected 54.
9 infected 68.
108 infected 108.
0 infected 0.
1 infected 87.
2 infected 72.
4 infected 62.
5 infected 55.
6 infected 9.
9 infected 27.
108 infected 69.
0 infected 49.
1 infected 82.
2 infected 99.
4 infected 66.
5 infected 83.
6 infected 59.
9 infected 100.
108 infected 9.
0 infected 29.
1 infected 37.
2 infected 73.
4 infected 19.
5 infected 39.
6 infected 59.
9 infected 92.
108 infected 65.
0 infected 18.
1 infected 4.
2 infected 83.
4 infected 80.
5 infected 105.
6 infected 33.
9 infected 93.
108 infected 23.
0 infected 42.
1 infected 73.
2 infected 1.
4 infected 73.
5 infected 55.
6 infected 14.
9 infected 31.
108 infected 17.
0 infected 62.
1 infected 18.
2 infected 85.
4 infected 22.
5 infected 66.
6 infected 94.
9 infected 40.
108 infected 68.
0 infected 93.
1 infected 37.
2 infected 56.
4 infected 64.
5 infected 63.
6 infected 34.
9 infected 61.
108 infected 73.
0 infected 21.
1 infected 52.
2 infected 27.
4 infected 79.
5 infected 68.
6 infected 98.
9 infected 20.
108 infected 11.
0 infected 38.
1 infected 101.
2 infected 104.
4 infected 56.
5 infected 46.
6 infected 103.
9 infected 67.
108 infected 37.
0 infected 108.
1 infected 0.
2 infected 39.
4 infected 95.
5 infected 41.
6 infected 78.
9 infected 77.
108 infected 87.
0 infected 65.
1 infected 22.
2 infected 60.
4 infected 71.
5 infected 64.
6 infected 47.
9 infected 45.
108 infected 73.
0 infected 100.
1 infected 72.
2 infected 51.
4 infected 61.
5 infected 44.
6 infected 27.
9 infected 92.
108 infected 33.
0 infected 76.
1 infected 52.
2 infected 32.
4 infected 102.
5 infected 55.
6 infected 6.
9 infected 43.
108 infected 98.
0 infected 63.
1 infected 93.
2 infected 106.
4 infected 51.
5 infected 52.
6 infected 87.
9 infected 104.
108 infected 108.
0 infected 86.
1 infected 22.
2 infected 66.
4 infected 5.
5 infected 19.
6 infected 67.
9 infected 78.
108 infected 45.
0 infected 15.
1 infected 59.
2 infected 15.
4 infected 70.
5 infected 61.
6 infected 1.
9 infected 95.
108 infected 21.
0 infected 55.
1 infected 86.
2 infected 22.
4 infected 12.
5 infected 63.
6 infected 103.
9 infected 36.
108 infected 46.
0 infected 82.
1 infected 91.
2 infected 53.
4 infected 86.
5 infected 13.
6 infected 45.
9 infected 89.
108 infected 71.
0 infected 51.
1 infected 43.
2 infected 83.
4 infected 94.
5 infected 100.
6 infected 65.
9 infected 72.
108 infected 5.
0 infected 82.
1 infected 11.
2 infected 33.
4 infected 83.
5 infected 90.
6 infected 39.
9 infected 32.
108 infected 98.
0 infected 14.
1 infected 58.
2 infected 15.
4 infected 100.
5 infected 84.
6 infected 93.
9 infected 15.
108 infected 59.
0 infected 24.
1 infected 91.
2 infected 41.
4 infected 4.
5 infected 6.
6 infected 44.
9 infected 104.
108 infected 10.
0 infected 40.
1 infected 48.
2 infected 50.
4 infected 58.
5 infected 21.
6 infected 34.
9 infected 70.
108 infected 55.
0 infected 75.
1 infected 90.
2 infected 104.
4 infected 26.
5 infected 24.
6 infected 25.
9 infected 13.
108 infected 81.
0 infected 51.
1 infected 82.
2 infected 90.
4 infected 33.
5 infected 66.
6 infected 77.
9 infected 21.
108 infected 32.
0 infected 62.
1 infected 84.
2 infected 35.
4 infected 61.
5 infected 35.
6 infected 88.
9 infected 1.
108 infected 105.
0 infected 62.
1 infected 39.
2 infected 89.
4 infected 72.
5 infected 23.
6 infected 12.
9 infected 59.
108 infected 47.
0 infected 78.
1 infected 41.
2 infected 84.
4 infected 57.
5 infected 91.
6 infected 35.
9 infected 61.
108 infected 41.
0 infected 28.
1 infected 52.
2 infected 64.
4 infected 16.
5 infected 33.
6 infected 51.
9 infected 76.
108 infected 48.
0 infected 76.
1 infected 40.
2 infected 92.
4 infected 40.
5 infected 2.
6 infected 87.
9 infected 53.
108 infected 38.
0 infected 1.
1 infected 75.
2 infected 90.
4 infected 102.
5 infected 98.
6 infected 9.
9 infected 80.
108 infected 98.
0 infected 66.
1 infected 39.
2 infected 102.
4 infected 105.
5 infected 32.
6 infected 80.
9 infected 105.
108 infected 48.
0 infected 31.
1 infected 84.
2 infected 27.
4 infected 82.
5 infected 35.
6 infected 89.
9 infected 99.
108 infected 95.
0 infected 101.
1 infected 87.
2 infected 90.
4 infected 20.
5 infected 83.
6 infected 15.
9 infected 83.
108 infected 85.
0 infected 6.
1 infected 42.
2 infected 103.
4 infected 59.
5 infected 5.
6 infected 77.
9 infected 49.
108 infected 96.
0 infected 19.
1 infected 14.
2 infected 40.
4 infected 44.
5 infected 98.
6 infected 56.
9 infected 25.
108 infected 28.
0 infected 19.
1 infected 103.
2 infected 72.
4 infected 49.
5 infected 70.
6 infected 67.
9 infected 37.
108 infected 24.
0 infected 35.
1 infected 108.
2 infected 64.
4 infected 106.
5 infected 40.
6 infected 98.
9 infected 46.
108 infected 105.
0 infected 17.
1 infected 62.
2 infected 12.
4 infected 21.
5 infected 99.
6 infected 31.
9 infected 89.
108 infected 95.
0 infected 89.
1 infected 53.
2 infected 105.
4 infected 74.
5 infected 49.
6 infected 14.
9 infected 104.
108 infected 53.
0 infected 1.
1 infected 36.
2 infected 71.
4 infected 18.
5 infected 61.
6 infected 50.
9 infected 89.
108 infected 98.
0 infected 89.
1 infected 36.
2 infected 77.
4 infected 51.
5 infected 108.
6 infected 84.
9 infected 50.
108 infected 16.
0 infected 89.
1 infected 32.
2 infected 63.
4 infected 4.
5 infected 82.
6 infected 74.
9 infected 44.
108 infected 81.
0 infected 31.
1 infected 85.
2 infected 11.
4 infected 84.
5 infected 108.
6 infected 62.
9 infected 92.
108 infected 41.
0 infected 86.
1 infected 55.
2 infected 17.
4 infected 20.
5 infected 6.
6 infected 5.
9 infected 41.
108 infected 66.
0 infected 17.
1 infected 15.
2 infected 33.
4 infected 71.
5 infected 20.
6 infected 52.
9 infected 61.
108 infected 50.
0 infected 88.
1 infected 98.
2 infected 92.
4 infected 72.
5 infected 56.
6 infected 78.
9 infected 98.
108 infected 96.
0 infected 22.
1 infected 56.
2 infected 86.
4 infected 15.
5 infected 65.
6 infected 81.
9 infected 55.
108 infected 38.
0 infected 5.
1 infected 91.
2 infected 50.
4 infected 30.
5 infected 59.
6 infected 59.
9 infected 33.
108 infected 49.
0 infected 15.
1 infected 90.
2 infected 50.
4 infected 72.
5 infected 85.
6 infected 48.
9 infected 10.
108 infected 53.
0 infected 38.
1 infected 27.
2 infected 18.
4 infected 108.
5 infected 61.
6 infected 14.
9 infected 87.
108 infected 30.
0 infected 85.
1 infected 84.
2 infected 79.
4 infected 2.
5 infected 9.
6 infected 103.
9 infected 45.
108 infected 34.
0 infected 19.
1 infected 103.
2 infected 75.
4 infected 29.
5 infected 11.
6 infected 100.
9 infected 73.
108 infected 29.
0 infected 78.
1 infected 30.
2 infected 107.
4 infected 32.
5 infected 45.
6 infected 102.
9 infected 21.
108 infected 103.
0 infected 79.
1 infected 0.
2 infected 38.
4 infected 21.
5 infected 19.
6 infected 72.
9 infected 35.
108 infected 105.
0 infected 25.
1 infected 17.
2 infected 87.
4 infected 4.
5 infected 19.
6 infected 1.
9 infected 48.
108 infected 104.
0 infected 103.
1 infected 33.
2 infected 78.
4 infected 44.
5 infected 2.
6 infected 25.
9 infected 36.
108 infected 9.
0 infected 19.
1 infected 97.
2 infected 56.
4 infected 70.
5 infected 17.
6 infected 98.
9 infected 11.
108 infected 63.
0 infected 60.
1 infected 102.
2 infected 49.
4 infected 68.
5 infected 78.
6 infected 16.
9 infected 60.
108 infected 67.
0 infected 31.
1 infected 81.
2 infected 6.
4 infected 96.
5 infected 103.
6 infected 87.
9 infected 69.
108 infected 41.
0 infected 61.
1 infected 85.
2 infected 4.
4 infected 10.
5 infected 64.
6 infected 54.
9 infected 57.
108 infected 90.
0 infected 16.
1 infected 65.
2 infected 94.
4 infected 59.
5 infected 12.
6 infected 13.
9 infected 44.
108 infected 80.
0 infected 21.
1 infected 11.
2 infected 19.
4 infected 38.
5 infected 82.
6 infected 84.
9 infected 77.
108 infected 73.
0 infected 94.
1 infected 44.
2 infected 51.
4 infected 79.
5 infected 70.
6 infected 40.
9 infected 61.
108 infected 67.
0 infected 80.
1 infected 58.
2 infected 15.
4 infected 104.
5 infected 92.
6 infected 17.
9 infected 86.
108 infected 86.
0 infected 101.
1 infected 73.
2 infected 95.
4 infected 30.
5 infected 58.
6 infected 60.
9 infected 32.
108 infected 55.
0 infected 46.
1 infected 108.
2 infected 61.
4 infected 54.
5 infected 56.
6 infected 96.
9 infected 15.
108 infected 43.
0 infected 57.
1 infected 43.
2 infected 88.
4 infected 35.
5 infected 50.
6 infected 22.
9 infected 90.
108 infected 63.
0 infected 11.
1 infected 14.
2 infected 13.
